timestamp,tag_id,x,y,z,quality
1771539410.064696,0,5.355,0.221,0.18,28
1771539410.258185,0,5.355,0.219,0.177,28
1771539410.258185,1,5.488,0.316,0.526,38
1771539410.2963488,0,5.361,0.227,0.181,28
1771539410.2963488,1,5.485,0.33,0.528,38
1771539410.3195918,0,5.361,0.227,0.181,28
1771539410.3195918,1,5.485,0.33,0.528,38
1771539410.357138,0,5.374,0.242,0.16,24
1771539410.357138,1,5.492,0.336,0.539,39
1771539410.371579,0,5.374,0.242,0.16,24
1771539410.371579,1,5.492,0.336,0.539,39
1771539410.3987732,0,5.374,0.242,0.16,24
1771539410.3987732,1,5.492,0.336,0.539,39
1771539410.4196167,0,5.374,0.242,0.16,24
1771539410.4196167,1,5.492,0.336,0.539,39
1771539410.4508996,0,5.374,0.242,0.16,24
1771539410.4508996,1,5.492,0.336,0.539,39
1771539410.5667956,0,5.378,0.245,0.158,26
1771539410.5667956,1,5.498,0.328,0.524,36
1771539410.601247,0,5.377,0.227,0.151,26
1771539410.601247,1,5.498,0.328,0.524,36
1771539410.6363842,0,5.377,0.227,0.151,26
1771539410.6363842,1,5.509,0.326,0.516,35
1771539410.66012,0,5.377,0.227,0.151,26
1771539410.66012,1,5.509,0.326,0.516,35
1771539410.701048,0,5.374,0.22,0.163,29
1771539410.701048,1,5.508,0.337,0.515,37
1771539410.7248142,0,5.374,0.22,0.163,29
1771539410.7248142,1,5.508,0.337,0.515,37
1771539410.744347,0,5.374,0.22,0.163,29
1771539410.744347,1,5.508,0.337,0.515,37
1771539410.7688487,0,5.374,0.22,0.163,29
1771539410.7688487,1,5.517,0.325,0.525,38
1771539410.8104737,0,5.381,0.229,0.143,23
1771539410.8104737,1,5.517,0.325,0.525,38
1771539410.8264778,0,5.381,0.229,0.143,23
1771539410.8264778,1,5.517,0.325,0.525,38
1771539410.8586202,0,5.372,0.222,0.148,28
1771539410.8586202,1,5.517,0.325,0.525,38
1771539410.9295464,0,5.372,0.222,0.148,28
1771539410.9295464,1,5.512,0.308,0.52,37
1771539410.9464376,0,5.372,0.222,0.148,28
1771539410.9464376,1,5.512,0.308,0.52,37
1771539410.9836807,0,5.38,0.227,0.149,26
1771539410.9836807,1,5.512,0.308,0.52,37
1771539411.0056944,0,5.38,0.227,0.149,26
1771539411.0056944,1,5.512,0.308,0.52,37
1771539411.0329757,0,5.38,0.227,0.149,26
1771539411.0329757,1,5.496,0.303,0.51,37
1771539411.0807307,0,5.365,0.222,0.16,30
1771539411.0807307,1,5.49,0.312,0.487,34
1771539411.108742,0,5.365,0.222,0.16,30
1771539411.108742,1,5.49,0.312,0.487,34
1771539411.1606524,0,5.365,0.222,0.16,30
1771539411.1606524,1,5.483,0.337,0.488,36
1771539411.2075853,0,5.353,0.225,0.165,29
1771539411.2075853,1,5.483,0.337,0.488,36
1771539411.2677672,0,5.353,0.225,0.165,29
1771539411.2677672,1,5.483,0.337,0.488,36
